piece_id,material,rms_noise_before,rms_noise_after,snr_before,snr_after
bare silicon all_p01,silicon,0.00380809127214669,0.0006131906035728953,51.35053480072795,318.9016892348967
bare silicon all_p02,silicon,0.003458138604835277,0.0005474982007075038,42.89428265913559,270.93050112816564
bare silicon all_p03,silicon,0.00265353826812492,0.00040117701600666215,24.190410209027668,160.003749289694
bare silicon all_p04,silicon,0.0034881049045090468,0.0005519189505293044,43.19337180253939,272.9799234456182
bare silicon all_p05,silicon,0.0033845646837860656,0.0005312031911523544,42.06832079224571,268.03816056554075
bare silicon all_p06,silicon,0.0034984578342782523,0.0005525239264988721,45.52668332493842,288.26485780761357
bare silicon all_p07,silicon,0.0035810984885902256,0.0005684586872419387,47.145949629195094,297.00342087738204
bare silicon all_p08,silicon,0.0036887120121546282,0.0006317847466814834,48.500005131117085,283.170877073397
bare silicon all_p09,silicon,0.0036059434086066207,0.0005697145615839079,45.034201601134434,285.03897214552586
Dish on Black - 1_p01,sio2,0.0027995862430560364,0.0005327291274326861,44.05758621358268,231.5317981018359
Dish on Black - 1_p02,sio2,0.002984476014174972,0.0005564589242749683,56.20547537663921,301.45367427658954
Dish on Black - 1_p03,sio2,0.002009348397163493,0.0003725947098601064,27.3427451815271,147.4565399852571
Dish on Black - 1_p04,sio2,0.0022101576530290192,0.00043112505688201237,30.044401790667475,154.0226404411948
Dish on Black - 1_p05,sio2,0.0034993648665474653,0.0006990176113599402,50.06103273297715,250.61277695275894
Dish on Black - 1_p06,sio2,0.0035384778168009233,0.0006789475151797917,52.61422822968482,274.21165547355815
Dish on Black - 1_p07,sio2,0.002919441845836284,0.0005284862206572125,56.35751461916497,311.33078713785216
Dish on Black - 1_p08,sio2,0.002733796727495225,0.00047597168353952576,51.24787345691688,294.3501833421863
Dish on Black - 1_p09,sio2,0.003255204201323004,0.0006278373915017775,49.40437766202173,256.15150998250226
Dish on Black - 1_p10,sio2,0.0030680387376337227,0.0005739432210952615,53.183026087840226,284.2946214574534
Dish on Black - 1_p11,sio2,0.00211020737451017,0.0003681273648833579,30.630637944297934,175.58384159963043
Dish on Black - 1_p12,sio2,0.0037104529663434882,0.0007224480023764651,61.23024007320502,314.47767202752726
Dish on Black - 1_p13,sio2,0.002040285527409311,0.0003718555108230883,29.422619878949284,161.43590149077227
